,csp1,csp2,csp3
877,516.530,0.000,240.367
878,400.144,0.000,63.148
879,178.189,0.000,0.000
880,0.000,0.000,0.000
881,0.000,0.000,0.000
882,0.000,0.000,0.000
883,0.000,0.000,0.000
884,0.000,0.000,0.000
885,0.000,0.000,0.000
886,0.000,0.000,0.000
887,0.000,0.000,0.000
888,0.000,0.000,0.000
889,0.000,0.000,0.000
890,0.000,0.000,0.000
891,0.000,0.000,0.000
892,0.000,0.000,0.000
893,0.000,0.000,0.000
894,0.000,22.081,0.000
895,86.911,207.044,0.000
896,222.227,338.106,0.000
897,146.840,393.878,0.000
898,63.672,325.558,0.000
899,195.434,211.635,0.577
900,46.371,56.580,9.655
901,60.843,0.000,0.000
902,50.027,0.000,0.000
903,1.565,0.000,0.000
904,0.000,0.000,0.000
905,0.000,0.000,0.000
906,0.000,0.000,0.000
907,0.000,0.000,0.000
908,0.000,0.000,0.000
909,0.000,0.000,0.000
910,0.000,0.000,0.000
911,0.000,0.000,0.000
912,0.000,0.000,0.000
913,0.000,0.000,0.000
914,0.000,0.000,0.000
915,0.000,0.000,0.000
916,0.000,0.000,0.000
917,0.000,0.000,0.000
918,0.000,2.385,0.000
919,0.000,102.887,0.000
920,139.261,222.275,0.000
921,502.202,383.893,0.000
922,562.315,392.071,0.000
923,587.699,354.672,8.290
924,584.673,214.755,111.097
925,539.631,45.972,297.733
926,426.467,0.000,214.678
927,202.733,0.000,73.578
928,0.000,0.000,0.000
929,0.000,0.000,0.000
930,0.000,0.000,0.000
931,0.000,0.000,0.000
932,0.000,0.000,0.000
933,0.000,0.000,0.000
934,0.000,0.000,0.000
935,0.000,0.000,0.000
936,0.000,0.000,0.000
937,0.000,0.000,0.000
938,0.000,0.000,0.000
939,0.000,0.000,0.000
940,0.000,0.000,0.000
941,0.000,0.000,0.000
942,0.000,25.994,0.000
943,82.771,208.011,0.000
944,356.294,361.778,0.000
945,500.226,425.974,131.188
946,570.693,434.618,281.145
947,587.387,386.946,365.436
948,568.832,245.937,386.840
949,523.752,64.110,342.686
950,420.640,0.000,250.054
951,177.554,0.000,68.168
952,0.000,0.000,0.000
953,0.000,0.000,0.000
954,0.000,0.000,0.000
955,0.000,0.000,0.000
956,0.000,0.000,0.000
957,0.000,0.000,0.000
958,0.000,0.000,0.000
959,0.000,0.000,0.000
960,0.000,0.000,0.000
961,0.000,0.000,0.000
962,0.000,0.000,0.000
963,0.000,0.000,0.000
964,0.000,0.000,0.000
965,0.000,0.000,0.000
966,0.000,28.825,0.000
967,0.000,221.551,0.000
968,331.044,347.125,1.108
969,479.743,410.156,135.341
970,547.186,410.746,278.603
971,557.215,325.775,356.296
972,552.003,208.997,386.494
973,532.642,66.688,352.303
974,428.339,0.000,258.826
975,238.137,0.000,114.074
976,0.000,0.000,0.000
977,0.000,0.000,0.000
978,0.000,0.000,0.000
979,0.000,0.000,0.000
980,0.000,0.000,0.000
981,0.000,0.000,0.000
982,0.000,0.000,0.000
983,0.000,0.000,0.000
984,0.000,0.000,0.000
985,0.000,0.000,0.000
986,0.000,0.000,0.000
987,0.000,0.000,0.000
988,0.000,0.000,0.000
989,0.000,0.000,0.000
990,0.000,38.588,0.000
991,73.489,217.275,0.000
992,331.840,344.593,1.233
993,451.416,402.750,133.620
